X,Y,ID,LOCN,MPD_NAME,ADDRESS,CITY,ZIP,MPD_TYPE,MAP_TYPE,LABEL,MAP_DESC,MPD_DESC,LD,FULLNAME,CDSCODE,CHARTER,MAP_TYPE_MAPPING,TOOLTIP,NLA_URL,Campus,Budget (incl c/o) FY24,Expenditures FY24,% Exp FY24,Pct_Met_Above,Mean_Score,Participation Rate (%),Funding_Level
-13157737.0803322,4026937.00783967,75,8268,NIMITZ MS,6021 CARMELITA AVE,HUNTINGTON PARK,90255,J,MS,Nimitz Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Chester W. Nimitz Middle School,19647336057939, ,MS,Name: Chester W. Nimitz Middle School\nAddress: 6021 CARMELITA AVE HUNTINGTON PARK 90255,navigatela/reports/lausd_school_report.cfm?PK=75,NIMITZ MS,18802827.0,16689938.429999998,0.8876292075654367,34.6575,2499.5,96.91307042619266,High
-13172248.2805434,4030105.08549862,92,8028,AUDUBON MS,4120 11TH AVE,LOS ANGELES,90008,J,MS,Audubon Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Audubon Middle School,19647336061394, ,MS,Name: Audubon Middle School\nAddress: 4120 11TH AVE LOS ANGELES 90008,navigatela/reports/lausd_school_report.cfm?PK=92,AUDUBON MS,12618220.0,10690015.330000024,0.847188853102896,27.1575,2473.133333333333,98.17468936384056,Low
-13187422.6757863,4026012.94672637,93,3311,WESTSIDE GLBL AWR MAG,104 ANCHORAGE ST,MARINA DEL REY,90292,SP,M,Westside Glbl Awr Mag,Magnet School,Span Magnet,0,Westside Elementary Ecosystems/Environmental Sciences Magnet,19647331931054, ,M,Name: Westside Elementary Ecosystems/Environmental Sciences Magnet\nAddress: 104 ANCHORAGE ST MARINA DEL REY 90292,navigatela/reports/lausd_school_report.cfm?PK=93,WESTSIDE GLBL AWR MAG,5263785.0,4628859.740000002,0.87937857264307,45.11857142857143,2482.0166666666664,100.0,Low
-13170999.9217138,4034939.08099094,94,4980,PIO PICO MS,1512 S ARLINGTON AVE,LOS ANGELES,90019,J,MS,Pio Pico Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Pio Pico Middle School,19647336107064, ,MS,Name: Pio Pico Middle School\nAddress: 1512 S ARLINGTON AVE LOS ANGELES 90019,navigatela/reports/lausd_school_report.cfm?PK=94,PIO PICO MS,6573638.0,4915339.489999995,0.7477350426050224,36.4825,2503.633333333333,96.14982587304972,Low
-13155857.7749778,4034085.90201222,96,8047,BELVEDERE MS,312 N RECORD AVE,LOS ANGELES,90063,J,MS,Belvedere Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Belvedere Middle School,19647336057889, ,MS,Name: Belvedere Middle School\nAddress: 312 N RECORD AVE LOS ANGELES 90063,navigatela/reports/lausd_school_report.cfm?PK=96,BELVEDERE MS,13920639.0,11795271.360000052,0.8473225517880358,30.9,2491.9,98.32702534496619,Low
-13155698.0322868,4039496.82280696,100,8118,EL SERENO MS,2839 N EASTERN AVE,LOS ANGELES,90032,J,MS,El Sereno Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,El Sereno Middle School,19647336068431, ,MS,Name: El Sereno Middle School\nAddress: 2839 N EASTERN AVE LOS ANGELES 90032,navigatela/reports/lausd_school_report.cfm?PK=100,EL SERENO MS,14959323.0,13958626.209999988,0.933105476096745,43.465,2526.733333333333,94.56380938244693,High
-13163632.8630132,4026177.55861992,103,8113,EDISON MS,6500 HOOPER AVE,LOS ANGELES,90001,J,MS,Edison Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Thomas A. Edison Middle School,19647336061444, ,MS,Name: Thomas A. Edison Middle School\nAddress: 6500 HOOPER AVE LOS ANGELES 90001,navigatela/reports/lausd_school_report.cfm?PK=103,EDISON MS,15171541.0,13951523.509999998,0.9195851304755396,25.54,2477.433333333333,96.30533506100684,High
-13164180.9577639,4036976.25738793,115,8544,ROYBAL LC,1213 WEST 1ST ST,LOS ANGELES,90026,S,HS,Roybal Lrng Ctr,"High School (High School, Academy School, Continuation High School, Newcomer School, Community Day School, Special Ed School, Magnet Center on Regular Campus)",High School,0,Edward R. Roybal Learning Center,19647330117051, ,HS,Name: Edward R. Roybal Learning Center\nAddress: 1213 WEST 1ST ST LOS ANGELES 90026,navigatela/reports/lausd_school_report.cfm?PK=115,ROYBAL LC,21014120.0,17250856.43,0.8209173845966427,45.25,2566.8,96.24434851852757,High
-13185355.6793168,4028941.51316079,125,8425,MARK TWAIN MS,2224 WALGROVE AVE,LOS ANGELES,90066,J,MS,Twain Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Mark Twain Middle School,19647336058135, ,MS,Name: Mark Twain Middle School\nAddress: 2224 WALGROVE AVE LOS ANGELES 90066,navigatela/reports/lausd_school_report.cfm?PK=125,MARK TWAIN MS,13457351.0,10730641.46000001,0.7973814058948162,51.227500000000006,2548.4666666666667,98.23310953258819,Low
-13183106.5894637,4062467.31879607,133,8321,PACOIMA MS,9919 LAUREL CANYON BLVD,PACOIMA,91331,J,MS,Pacoima Middle,"Middle School (Middle School, Academy School, Special Ed School, Magnet Center on Regular Campus)",Middle School,0,Pacoima Middle School,19647336058218, ,MS,Name: Pacoima Middle School\nAddress: 9919 LAUREL CANYON BLVD PACOIMA 91331,navigatela/reports/lausd_school_report.cfm?PK=133,PACOIMA MS,15261992.0,13621229.41000004,0.892493549334847,37.3725,2510.233333333333,96.48208033629015,High
